Season,Player,Liga_Goals,Liga_Asts,CL_Goals,CL_Asts
2017-18,Messi,34,12,6,2
2017-18,Ronaldo,26,5,15,3
2016-17,Messi,37,9,11,2
2016-17,Ronaldo,25,6,12,5
2015-16,Messi,26,16,6,1
2015-16,Ronaldo,35,11,16,4
2014-15,Messi,43,21,10,6
2014-15,Ronaldo,48,16,10,4
2013-14,Messi,28,12,8,1
2013-14,Ronaldo,31,11,17,6
2012-13,Messi,46,14,8,3
2012-13,Ronaldo,34,11,12,1
2011-12,Messi,50,20,14,9
2011-12,Ronaldo,46,13,10,4
2010-11,Messi,31,21,12,4
2010-11,Ronaldo,40,13,6,4
2009-10,Messi,34,13,8,0
2009-10,Ronaldo,26,11,7,2
